设备编号,维修时长_小时,维修响应_小时,累计故障次数,设备总故障次数,设备故障频率_次每天,最近3次平均间隔,上次故障间隔_小时,上次维修时长_小时,设备平均故障间隔,设备平均维修时长,故障小时,故障星期,是否周末,故障间隔_小时
1000001409,0.22,0.1,78,5,0.021593932105078473,1917.5833333333333,407.2986111111111,0.23,1494.94,0.738,8,0,0,1917.5833333333333
1000001409,0.83,0.08333333333333333,78,5,0.021593932105078473,2100.9166666666665,1917.5833333333333,0.22,1494.94,0.738,12,4,0,2284.25
1000001409,2.17,0.5833333333333334,78,5,0.021593932105078473,1777.5277777777776,2284.25,0.83,1494.94,0.738,15,2,0,1130.75
1000001409,0.37,0.05,78,5,0.021593932105078473,1290.111111111111,1130.75,2.17,1494.94,0.738,14,0,0,455.3333333333333
1000001409,0.1,0.016666666666666666,78,5,0.021593932105078473,1090.9555555555555,455.3333333333333,0.37,1494.94,0.738,21,0,0,1686.7833333333333
1000001412,0.33,0.0,96,12,0.043347924793357334,506.65,407.2986111111111,0.23,595.8805555555556,0.28250000000000003,13,5,1,506.65
1000001412,0.25,0.0,96,12,0.043347924793357334,569.075,506.65,0.33,595.8805555555556,0.28250000000000003,21,3,0,631.5
1000001412,0.17,0.16666666666666666,96,12,0.043347924793357334,586.6888888888889,631.5,0.25,595.8805555555556,0.28250000000000003,19,1,0,621.9166666666666
1000001412,0.15,0.11666666666666667,96,12,0.043347924793357334,630.0555555555555,621.9166666666666,0.17,595.8805555555556,0.28250000000000003,7,0,0,636.75
1000001412,0.17,0.0,96,12,0.043347924793357334,491.99999999999994,636.75,0.15,595.8805555555556,0.28250000000000003,9,2,0,217.33333333333334
1000001412,0.17,0.18305555555555555,96,12,0.043347924793357334,663.4723148148148,217.33333333333334,0.17,595.8805555555556,0.28250000000000003,17,0,0,1136.3336111111112
1000001412,0.23,0.7666666666666667,96,12,0.043347924793357334,520.7722222222222,1136.3336111111112,0.17,595.8805555555556,0.28250000000000003,10,2,0,208.6497222222222
1000001412,0.22,0.3075,96,12,0.043347924793357334,602.7975,208.6497222222222,0.23,595.8805555555556,0.28250000000000003,17,0,0,463.4091666666667
1000001412,0.63,0.0,96,12,0.043347924793357334,263.5721296296296,463.4091666666667,0.22,595.8805555555556,0.28250000000000003,16,5,1,118.6575
1000001412,0.17,0.016666666666666666,96,12,0.043347924793357334,984.0611111111111,118.6575,0.63,595.8805555555556,0.28250000000000003,10,6,1,2370.116666666667
1000001412,0.58,0.40166666666666667,96,12,0.043347924793357334,903.4297222222222,2370.116666666667,0.17,595.8805555555556,0.28250000000000003,15,1,0,221.515
1000001412,0.32,0.016666666666666666,96,12,0.043347924793357334,869.7888888888889,221.515,0.58,595.8805555555556,0.28250000000000003,9,2,0,17.735
1000001413,0.98,0.016666666666666666,154,3,0.01897941699800101,2300.0833333333335,407.2986111111111,0.23,2031.2222222222224,0.5866666666666667,15,6,1,2300.0833333333335
1000001413,0.28,0.016666666666666666,154,3,0.01897941699800101,2695.2666666666664,2300.0833333333335,0.98,2031.2222222222224,0.5866666666666667,9,2,0,3090.45
1000001413,0.5,0.16666666666666666,154,3,0.01897941699800101,2031.2222222222224,3090.45,0.28,2031.2222222222224,0.5866666666666667,17,3,0,703.1333333333333
1000001414,0.33,0.0,84,7,0.027801988062797187,441.01666666666665,407.2986111111111,0.23,926.25,0.5342857142857144,21,3,0,441.01666666666665
1000001414,0.83,0.16666666666666666,84,7,0.027801988062797187,986.4583333333334,441.01666666666665,0.33,926.25,0.5342857142857144,17,4,0,1531.9
1000001414,0.85,0.08333333333333333,84,7,0.027801988062797187,1120.7222222222224,1531.9,0.83,926.25,0.5342857142857144,14,6,1,1389.25
