device,故障小时,故障星期,故障月份,故障季度,是否周末,是否工作日高峰,维修时长_小时,响应时间_小时,维修类型,历史次数,上次间隔_小时,平均间隔_小时,间隔标准差_小时,近期趋势_比值,最近3次平均_小时,最近3次趋势,运行天数,故障频率_次每天,故障加速比,平均维修时长_小时,响应时间趋势,车站编码,品牌编码,线路编码,故障间隔_小时
1000001488,5,3,2,1,0,0,0.17,0.0,0,1,1691.4166666666667,1691.4166666666667,0.0,0.9999999999940878,1691.4166666666667,1.0,94.82638888888889,0.010545587696814355,1.0,0.33,-0.08333333333333333,301,4,19,584.4166666666666
1000001488,14,4,2,1,0,0,3.5,0.16666666666666666,0,2,584.4166666666666,1137.9166666666667,553.5,0.5135847674799245,1137.9166666666667,1.0,96.22222222222223,0.020785219399538105,1.0,0.25,0.125,301,4,19,33.5
1000001488,15,2,2,1,0,0,0.2,0.03333333333333333,0,3,33.5,769.7777777777778,689.4156823170557,0.043519053117217564,769.7777777777778,1.0,101.25555555555556,0.029628003950400526,1.0,1.3333333333333333,-0.049999999999999996,301,4,19,120.8
1000001488,17,4,3,1,0,1,1.17,0.3333333333333333,0,4,120.8,607.5333333333334,659.8789786981987,0.19883682650830398,246.23888888888885,1.0,117.31944444444444,0.034094944950870135,1.0,1.05,0.26249999999999996,301,4,19,385.53333333333336
1000001488,14,6,3,1,1,0,0.15,0.0,0,5,385.53333333333336,563.1333333333334,596.8564762337946,0.6846217591922938,179.94444444444446,1.0,133.21597222222223,0.03753303689184751,1.0,1.074,-0.12333333333333334,301,4,19,381.51666666666665
1000001488,17,4,5,2,0,1,0.83,0.06861111111111111,0,6,381.51666666666665,532.8638888888889,549.0408977056218,0.715973956229298,295.95,0.38446160507583693,173.33741898148148,0.03461456871375829,1.0,0.92,-0.03416666666666668,301,4,19,962.9147222222222
1000001488,20,1,5,2,0,0,0.13,0.0,0,7,962.9147222222222,594.2997222222222,530.1210956065385,1.6202510050071401,576.6549074074073,0.9491741041335161,184.47916666666666,0.037944664031620556,1.0,0.9071428571428573,-0.0978968253968254,301,4,19,267.40194444444444
1000001488,20,4,5,2,0,0,0.37,0.03333333333333333,0,8,267.40194444444444,553.4375,507.5311590836173,0.48316556872205585,537.2777777777777,0.9540862633507223,187.45555555555555,0.042676782644775056,1.0,0.81,-0.05232638888888889,301,4,19,71.43333333333334
1000001488,8,5,6,2,1,0,0.25,0.2833333333333333,0,9,71.43333333333334,499.8814814814815,501.909333571325,0.1429005393842553,433.9166666666667,0.8143105128840932,215.9465277777778,0.04167698407849165,1.0,0.7611111111111112,0.20348765432098764,301,4,19,683.7833333333333
1000001488,16,5,7,3,1,0,0.25,0.0,1,10,683.7833333333333,518.2716666666668,479.338577013909,1.319353106292658,340.8728703703703,0.5735706372031156,244.28333333333333,0.040936071501671556,1.0,0.7100000000000001,-0.10019444444444443,301,4,19,680.0833333333334
1000001488,16,5,8,3,1,0,0.1,0.2833333333333333,0,11,680.0833333333334,532.9818181818182,459.39262821815765,1.2759972481623638,478.4333333333334,0.8644758140254114,272.27777777777777,0.04039991838400327,1.0,0.6681818181818182,0.19224747474747475,301,4,19,671.8666666666667
1000001488,11,3,9,3,0,0,0.25,0.0,0,12,671.8666666666667,544.5555555555555,441.506798725508,1.2337890226257824,678.5777777777779,1.3574773279320642,298.1041666666667,0.04025438535187644,1.0,0.6208333333333333,-0.10710648148148146,301,4,19,619.8333333333334
1000001488,16,1,10,4,0,0,1.12,0.21666666666666667,0,13,619.8333333333334,550.3461538461538,424.66003419078976,1.1262608614420184,657.2611111111111,1.2681787436417113,331.30902777777777,0.03923829087059958,1.0,0.5923076923076923,0.11779914529914533,301,4,19,796.9166666666666
1000001489,10,6,5,2,1,0,0.32,0.016666666666666666,0,1,33.0,33.0,0.0,0.9999999996969696,33.0,1.0,89.79513888888889,0.011136460307026023,1.0,0.33,-0.4,301,4,19,2122.0833333333335
1000001489,11,5,7,3,1,0,0.25,0.0,1,2,2122.0833333333335,1077.5416666666667,1044.5416666666667,1.9693747341374022,1077.5416666666667,1.0,151.83680555555554,0.013172036863408723,1.0,0.325,-0.21666666666666667,301,4,19,1489.0
